    k     n             Re[I(theta1)]             Im[I(theta1)]
    0    49    1.6959118900773044e+12    6.4170753653368736e+06
    0    50    3.1466985004107876e+12    1.1672419148011677e+07
    0    51    5.8397641996746543e+12    2.1244224331682581e+07
    0    52    1.0839777307973705e+13    3.8687198894309402e+07
    0    53    2.0124588995746637e+13    7.0490532078361839e+07
    0    54    3.7369063462049711e+13    1.2850576039444901e+08
    0    55    6.9402168088933336e+13    2.3438747292699274e+08
    0    56    1.2891597719407000e+14    4.2771878676722354e+08
    0    57    2.3950287741855591e+14    7.8088473596923041e+08
    0    58    4.4502309138887338e+14    1.4263074603730459e+09
    0    59    8.2702729211447638e+14    2.6063352686400743e+09
    0    60    1.5371647062414898e+15    4.7646603229849586e+09
    0    61    2.8574729518037890e+15    8.7138903151614037e+09
    0    62    5.3125497496472590e+15    1.5942812928352829e+10
    0    63    9.8782757216591840e+15    2.9179983338895092e+10
    0    64    1.8370235107251284e+16    5.3427779648273399e+10
    0    65    3.4166617945320696e+16    9.7860227331169113e+10
    0    66    6.3553770860250832e+16    1.7930713008758191e+11
    0    67    1.1823093830154240e+17    3.2865223840209113e+11
    0    68    2.1997327639504819e+17    6.0258591646693237e+11
    0    69    4.0931366762610310e+17    1.1051991656276567e+12
    0    70    7.6170837290171392e+17    2.0276702412589402e+12
    0    71    1.4176403128547942e+18    3.7212213312725664e+12
    0    72    2.6386814263505413e+18    6.8312694894410967e+12
    0    73    4.9119081457810524e+18    1.2544159682364240e+13
    0    74    9.1443896831015547e+18    2.3041068080821977e+13
    0    75    1.7025477933849319e+19    4.2333218877157164e+13
    0    76    3.1701727603059089e+19    7.7799092190908156e+13
    0    77    5.9034318285701620e+19    1.4301425927890200e+14
    0    78    1.0994188870738448e+20    2.6296192091684922e+14
    0    79    2.0476602743084581e+20    4.8362900830594544e+14
    0    80    3.8140622257299862e+20    8.8968265863899688e+14
    0    81    7.1048010879184221e+20    1.6370376230840393e+15
    0    82    1.3235779007266567e+21    3.0128706584516140e+15
    0    83    2.4659241322717024e+21    5.5462346124522890e+15
    0    84    4.5945369516885625e+21    1.0211972141589146e+16
    0    85    8.5612043577009080e+21    1.8806693055957724e+16
    0    86    1.5953586292062966e+22    3.4642127360810124e+16
    0    87    2.9731130916249983e+22    6.3823985349836584e+16
    0    88    5.5410681758592340e+22    1.1761116383688914e+17
    0    89    1.0327705880243829e+23    2.1676867419534086e+17
    0    90    1.9250494800282334e+23    3.9960046679097600e+17
    0    91    3.5884507145169930e+23    7.3677545883059917e+17
    0    92    6.6895751104092522e+23    1.3586959517157501e+18
    0    93    1.2471421795169227e+24    2.5060267262297472e+18
    0    94    2.3251915164602475e+24    4.6229987699660882e+18
    0    95    4.3353711376662682e+24    8.5297233749705359e+18
    0    96    8.0838473324833128e+24    1.5740469475419761e+19
    0    97    1.5074179683142602e+25    2.9051630030754152e+19
    0    98    2.8110757357108787e+25    5.3628047505074528e+19
    0    99    5.2424488856367059e+25    9.9010381775878373e+19
    1     0    5.4412369777728439e-03    5.4415592044522098e-03
    1     1    3.2991953978225552e-01    1.0858755732273726e-04
    1     2    7.6077800301776310e-01    7.8234317833679389e-05
    1     3    1.4278284752701982e+00    8.4736266857264960e-05
    1     4    2.5472005738651156e+00    1.0885379961021385e-04
    1     5    4.4914566627466277e+00    1.5261241027286743e-04
    1     6    7.9215625754921497e+00    2.2537786777544581e-04
    1     7    1.4023548193868962e+01    3.4460049675902890e-04
    1     8    2.4937002939443662e+01    5.4034209967318905e-04
    1     9    4.4534088592768938e+01    8.6382501816463942e-04
    1    10    7.9839008386368121e+01    1.4024397175698431e-03
    1    11    1.4361863184606054e+02    2.3058600070770471e-03
    1    12    2.5911681921893330e+02    3.8315260555367679e-03
    1    13    4.6871643374725659e+02    6.4240615606136198e-03
    1    14    8.4980432434123713e+02    1.0854327240073368e-02
    1    15    1.5438572164686609e+03    1.8463544457917258e-02
    1    16    2.8098138216728867e+03    3.1592959575578852e-02
    1    17    5.1220930265353663e+03    5.4341844793235755e-02
    1    18    9.3507435447283569e+03    9.3907681353096961e-02
    1    19    1.7092782009852974e+04    1.6296054489167955e-01
    1    20    3.1282009922590452e+04    2.8385787981151855e-01
    1    21    5.7312062802189699e+04    4.9613967510094281e-01
    1    22    1.0510584575608188e+05    8.6987984776552318e-01
    1    23    1.9293096083339921e+05    1.5295074702429741e+00
    1    24    3.5443785248321458e+05    2.6963720425566384e+00
    1    25    6.5164905278533103e+05    4.7649098643774881e+00
    1    26    1.1989424391351934e+06    8.4391192335039271e+00
    1    27    2.2073528881267863e+06    1.4977407813468929e+01
    1    28    4.0664393028752944e+06    2.6632396829227076e+01
    1    29    7.4956288938316051e+06    4.7441815725220920e+01
    1    30    1.3824103856695263e+07    8.4652299985787209e+01
    1    31    2.5508586549719024e+07    1.5128520556296741e+02
    1    32    4.7091549514899611e+07    2.7076497643576351e+02
    1    33    8.6975031513306662e+07    4.8527586806362956e+02
    1    34    1.6070526986172217e+08    8.7086382927451177e+02
    1    35    2.9705670113871413e+08    1.5647511401525396e+03
    1    36    5.4930420663276398e+08    2.8147803194320441e+03
    1    37    1.0161134307042130e+09    5.0689851893772266e+03
    1    38    1.8802654938179088e+09    9.1379758790399628e+03
    1    39    3.4804587840877271e+09    1.6489539553715960e+04
    1    40    6.4444714615786219e+09    2.9783474081558245e+04
    1    41    1.1936176936590355e+10    5.3843190764760409e+04
    1    42    2.2113852568437984e+10    9.7421884443448595e+04
    1    43    4.0980691094244629e+10    1.7641500680147141e+05
