    k     n             Re[I(theta1)]             Im[I(theta1)]
    0     0    9.9999991233181829e-01    5.9217625829702648e-04
    0     1    1.1011580513375157e+00    6.2188365318921056e-04
    0     2    1.4354996935646140e+00    7.1701636889842364e-04
    0     3    2.1061059894031908e+00    8.9713108302472762e-04
    0     4    3.3234481336750932e+00    1.2003399836545293e-03
    0     5    5.4778447858696948e+00    1.6932392609708309e-03
    0     6    9.2752598295111710e+00    2.4886322668143147e-03
    0     7    1.5985589436436033e+01    3.7762522107978626e-03
    0     8    2.7893889573936509e+01    5.8756428706946764e-03
    0     9    4.9119961681483026e+01    9.3271976732158535e-03
    0    10    8.7108509557362026e+01    1.5049298489661495e-02
    0    11    1.5534228850574365e+02    2.4610431140738062e-02
    0    12    2.7828895746752380e+02    4.0701974692277154e-02
    0    13    5.0043265213024756e+02    6.7962281626976040e-02
    0    14    9.0278345827196654e+02    1.1441738646551514e-01
    0    15    1.6330905117512168e+03    1.9400681926301899e-01
    0    16    2.9611910304812618e+03    3.3102339176818707e-01
    0    17    5.3805046524163645e+03    5.6793634594142750e-01
    0    18    9.7943102182399562e+03    9.7920757299706507e-01
    0    19    1.7857908084553266e+04    1.6957439473138916e+00
    0    20    3.2607599603948434e+04    2.9482599738440634e+00
    0    21    5.9617727545790665e+04    5.1443187226008700e+00
    0    22    1.0913051853709958e+05    9.0054477978437610e+00
    0    23    1.9997904808291417e+05    1.5811577966403412e+01
    0    24    3.6681714030776359e+05    2.7837483816867817e+01
    0    25    6.7345106407786952e+05    4.9133181012198264e+01
    0    26    1.2374352569596246e+06    8.6921278993549407e+01
    0    27    2.2754708653500625e+06    1.5410230250997904e+02
    0    28    4.1872397707874216e+06    2.7375205356001072e+02
    0    29    7.7102805387279410e+06    4.8720439974012720e+02
    0    30    1.4206223449310154e+07    8.6859406192879487e+02
    0    31    2.6189999775092807e+07    1.5510500916654723e+03
    0    32    4.8308631494195886e+07    2.7739212362757280e+03
    0    33    8.9152157196513683e+07    4.9680021805459437e+03
    0    34    1.6460524564375076e+08    8.9094793232516022e+03
    0    35    3.0405220347843003e+08    1.5998248279452999e+04
    0    36    5.6186801887265468e+08    2.8761500991781799e+04
    0    37    1.0387046259141396e+09    5.1765640345846892e+04
    0    38    1.9209327040388424e+09    9.3268867266343397e+04
    0    39    3.5537431467530894e+09    1.6821821144193248e+05
    0    40    6.5766668621767054e+09    3.0368856290701538e+05
    0    41    1.2174868780454746e+10    5.4876008436628978e+05
    0    42    2.2545227325992352e+10    9.9246738217479072e+05
    0    43    4.1760968356872971e+10    1.7964368099497189e+06
    0    44    7.7376000963002609e+10    3.2542667825555443e+06
    0    45    1.4340237387778085e+11    5.8996261839486184e+06
    0    46    2.6583714671634973e+11    1.0703149724304903e+07
    0    47    4.9292348993146356e+11    1.9431262614514884e+07
    0    48    9.1420468395676025e+11    3.5300442279190682e+07
    0    49    1.6959118889144043e+12    6.4170753639637418e+07
    0    50    3.1466984983357559e+12    1.1672419145606551e+08
    0    51    5.8397641959684697e+12    2.1244224327464217e+08
    0    52    1.0839777301348137e+13    3.8687198886901802e+08
    0    53    2.0124588983891578e+13    7.0490532065338135e+08
    0    54    3.7369063440819742e+13    1.2850576037152553e+09
    0    55    6.9402168050883609e+13    2.3438747288659935e+09
    0    56    1.2891597712582059e+14    4.2771878669596896e+09
    0    57    2.3950287729604681e+14    7.8088473584341373e+09
    0    58    4.4502309116879925e+14    1.4263074601506468e+10
    0    59    8.2702729171885425e+14    2.6063352682465656e+10
    0    60    1.5371647055298248e+15    4.7646603222881172e+10
    0    61    2.8574729505227395e+15    8.7138903139262421e+10
    0    62    5.3125497473397630e+15    1.5942812926161475e+11
    0    63    9.8782757175001920e+15    2.9179983335004010e+11
    0    64    1.8370235099750796e+16    5.3427779641358893e+11
    0    65    3.4166617931785776e+16    9.7860227318871289e+11
    0    66    6.3553770835813008e+16    1.7930713006569351e+12
    0    67    1.1823093825739477e+17    3.2865223836310381e+12
    0    68    2.1997327631524915e+17    6.0258591639743252e+12
    0    69    4.0931366748179232e+17    1.1051991655036891e+13
    0    70    7.6170837264060019e+17    2.0276702410376496e+13
    0    71    1.4176403123821084e+18    3.7212213308772859e+13
    0    72    2.6386814254944517e+18    6.8312694887345883e+13
    0    73    4.9119081442298317e+18    1.2544159681100600e+14
    0    74    9.1443896802895421e+18    2.3041068078560597e+14
    0    75    1.7025477928749406e+19    4.2333218873107488e+14
